year,day,Dmean,Dmax,p1,p2,p3,p4,p5,p6,p7,p8,p10,t1,t2,t4,t5,t6,t7,t8,t9,t10,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10
2004,173,1.85590136,3.228867583,NaN,NaN,NaN,NaN,NaN,1486.366519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18940.61271,NaN,NaN,NaN,NaN,NaN,NaN
2004,174,2.732138161,5.15363116,2550.186932,1558.406035,1667.91632,2438.225022,2012.789538,1186.473393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6292.733995,5066.466188,NaN,13833.99779,6280.642678,NaN,NaN,NaN,NaN,NaN
2004,175,3.515205109,6.650050985,1899.266893,1241.697664,1268.503753,1881.577572,1582.282098,833.8171946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4372.614066,4161.173574,NaN,9986.319085,3603.946518,NaN,11566.28933,NaN,9035.051584,NaN
2004,176,2.748766397,4.049017855,2155.988916,1340.993775,1435.016582,2297.937131,1913.823048,943.4593779,NaN,NaN,NaN,NaN,NaN,352.7804523,NaN,NaN,1382.458793,765.1965751,924.0491818,1009.546639,6105.869793,6081.719869,NaN,13403.48425,5087.682617,NaN,13832.15909,NaN,11604.49523,NaN
2004,177,2.358030717,4.54840654,2364.423815,1284.368959,1487.349689,2575.214088,1942.751476,1049.064489,NaN,NaN,NaN,NaN,NaN,334.4808682,NaN,NaN,1440.567185,856.7673726,971.7819769,1124.946452,6603.525679,6507.660171,NaN,15019.39799,7206.688313,NaN,14783.32959,NaN,13138.30042,NaN
2004,178,2.209622047,4.600888078,2701.554245,1546.855648,1696.959714,2661.681174,2153.788823,1169.787014,NaN,NaN,NaN,NaN,NaN,520.5699017,NaN,NaN,1715.977957,1089.616402,1133.797473,1568.482784,8467.222958,8540.650032,NaN,17262.13725,8049.806661,NaN,18152.97435,NaN,14675.58835,NaN
2004,179,1.999359066,4.24597764,2791.508536,1470.616878,1747.50578,2845.658236,2270.142904,1163.291169,NaN,NaN,NaN,NaN,NaN,641.136559,NaN,NaN,1624.341368,1229.631424,1160.699191,1567.764929,9124.574169,9744.572967,NaN,18208.86268,9352.767391,NaN,19331.15369,NaN,15709.85331,NaN
2004,180,1.643795937,4.201964155,2923.681011,1382.31491,1807.378216,2989.30346,2368.861767,1169.505012,NaN,NaN,NaN,NaN,NaN,914.1585866,NaN,NaN,1731.372018,1711.339544,1399.496296,1735.008179,10998.83438,10709.58374,NaN,23509.50774,12912.95764,NaN,20156.65332,NaN,19362.9986,NaN
2004,181,1.454105688,3.709462756,NaN,NaN,2593.334207,3399.749243,2964.638984,1292.83739,NaN,NaN,NaN,NaN,NaN,1893.131996,NaN,NaN,3093.242508,2879.919449,3164.775924,3255.858654,13949.15095,15701.55985,NaN,26582.68615,20481.76059,NaN,NaN,NaN,NaN,NaN
2004,182,2.518080476,5.869187803,2893.609347,1800.131509,1959.713229,2712.014436,1978.304781,811.982226,2736.97555,1974.925633,NaN,NaN,NaN,694.1879438,NaN,NaN,1653.793834,986.7326492,1490.085259,1544.267188,7497.567477,7672.71819,NaN,17163.17607,12766.49162,NaN,NaN,NaN,NaN,NaN
2004,183,3.121013488,5.614336817,2339.610067,1662.019451,1636.801969,2619.25051,1289.411943,657.3817395,2510.377142,1646.019636,NaN,NaN,NaN,NaN,NaN,NaN,1538.018406,831.498967,1061.429486,NaN,7132.212648,6645.170161,NaN,16006.4338,9986.745051,NaN,NaN,NaN,NaN,NaN
2004,184,2.83051865,5.199348138,2993.097327,1796.669753,1983.048569,2874.687145,NaN,1145.499523,2110.311785,1771.820758,1875.030181,2801.334371,1800.247055,1161.923029,1220.24426,1519.127736,2716.831266,1695.473051,1821.827639,2080.301112,NaN,11097.71906,NaN,20311.95991,11630.427,14792.99317,20067.89135,8417.67633,18259.85183,14674.93794
2004,185,2.117086953,4.903578083,3849.756654,2047.414822,2349.085336,3652.021471,NaN,1210.86444,2480.678023,2186.827139,2364.62486,3837.214039,2390.061447,1738.778729,NaN,2032.139025,3236.22608,2310.280119,2540.768679,2639.452644,NaN,15120.42494,NaN,25481.11623,15915.6886,19524.81731,23700.39616,11005.89295,22376.51792,19375.04699
2004,186,2.288206883,4.52600766,3201.154855,1640.852965,1942.623443,3186.851604,NaN,1002.904767,1855.12606,1749.244192,2169.26699,2989.290577,2064.732889,1478.106871,1573.356118,2002.629893,2990.023789,2142.444057,2251.429484,2286.614376,NaN,13095.20839,15654.57328,22569.49251,15203.74725,17130.51222,19627.99236,8704.519105,17226.80602,17330.04747
2004,187,2.350254523,3.828427397,2949.260088,1909.345171,1834.398494,3411.71841,NaN,1182.091277,1889.178943,1577.528345,2239.637983,3215.68664,2154.885407,1340.092541,1589.390682,1817.665686,3076.127287,2214.719354,2678.573092,2654.613033,NaN,14252.36657,16621.98269,23852.90776,15168.72399,17929.26629,19126.25188,8236.144232,16828.45107,18434.40758
2004,188,3.074675475,5.160673864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,189,3.236342226,3.861787596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,190,2.632940227,4.464416361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,191,3.185683512,4.747419791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,192,4.14335475,6.729218259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,193,3.954559127,6.222975251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,194,4.068255267,7.301991836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,195,3.59217059,5.582885959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,196,2.852522654,5.921397757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,197,2.914588795,4.616197688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1113.406213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1005.134519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,198,1.664557812,4.030828125,NaN,2240.967477,2695.027872,3291.205877,2789.865677,NaN,2741.172398,2166.11965,2470.220847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2528.181486,14030.701,14299.07115,19375.08292,22917.04425,14482.33167,18250.84021,23049.10559,13151.07256,NaN,20021.59472
2004,199,2.211704472,5.95162899,3079.324019,1884.04592,2168.225224,2562.559179,2083.459592,NaN,2031.291444,2266.619867,1846.283267,NaN,NaN,1805.099994,1780.795945,2283.528467,NaN,NaN,NaN,2079.603706,10338.53344,12062.36775,14887.48981,17701.53737,13466.02567,14187.38628,19891.6278,9588.399195,18183.09468,17049.95903
