year,day,Dmean,Dmax,ph2,ph3,ph6,ph7,ph8,ph9,ph10,se1,se2,se3,se4,se5,se6,se7,se8,se10
2004,198,1.812096774,2.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,199,1.724303797,3.12,NaN,NaN,2370.892747,3844.677911,NaN,NaN,4146.748972,2053.192092,NaN,NaN,6484.244151,2823.451136,1645.119727,2213.873648,1996.093531,2391.522256
2004,200,1.230632911,2.06,NaN,NaN,3634.347774,5579.37733,NaN,NaN,5961.833022,3167.410374,NaN,NaN,8118.54624,4395.424032,2366.795282,3426.237751,3496.664596,3889.089435
2004,201,1.736202532,3.09,NaN,NaN,2743.856939,3942.277296,NaN,NaN,4956.930031,2769.797241,NaN,NaN,6468.912192,3012.187321,1750.356477,2610.919645,2775.156744,3054.677212
2004,202,1.441898734,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6905.813481,2905.537449,NaN,2581.657447,2984.122286,NaN
2004,203,1.941898734,3.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5850.741365,NaN,NaN,1950.626874,1991.709274,NaN
2004,204,NaN,0.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,205,2.479736842,3.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,206,2.105189873,3.28,NaN,NaN,NaN,NaN,NaN,NaN,3387.458054,1698.012208,NaN,694.1937877,4673.781724,NaN,NaN,NaN,1542.270012,NaN
2004,207,2.137341772,3.39,NaN,NaN,NaN,NaN,NaN,NaN,3661.360125,1831.138009,NaN,648.7213387,4597.652756,NaN,NaN,NaN,1674.639655,NaN
2004,208,2.192658228,3.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3073.910841,NaN,1110.237185,5805.083615,NaN,NaN,NaN,1776.894694,NaN
2004,209,1.86835443,2.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4363.533391,NaN,964.4783792,5673.863633,NaN,NaN,NaN,2103.292849,NaN
2004,210,2.147631579,3.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4664.01711,NaN,1224.386374,NaN,NaN,NaN,NaN,NaN,NaN
2004,211,2.513606557,3.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3547.378378,NaN,814.5260239,NaN,NaN,NaN,NaN,NaN,NaN
2004,212,2.409493671,3.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3409.224586,NaN,NaN,4537.567714,NaN,NaN,NaN,1259.302139,1714.865203
2004,213,2.530253165,3.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1631.987795,NaN,NaN,4902.65614,NaN,NaN,NaN,1086.668857,1577.375355
