year,day,Dmean,Dmax,an1,an2,an3,an6,an7,an11,an12,an13,an14,an15,an16,an17,an18,an19,an21,an26,an28,an29,an30
2004,198,1.610555556,2.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,199,1.788734177,3.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,200,1.3,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,201,1.545822785,2.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,202,1.377594937,2.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,203,1.732405063,3.35,3679.430669,NaN,4550.663425,NaN,4566.284715,2942.894024,NaN,2518.075087,4070.670722,3406.151757,2377.8274,2742.520732,3373.687595,NaN,NaN,4053.520168,4.100818375,NaN,NaN
2004,204,1.978101266,3.16,3149.134466,1292.811979,4105.552067,NaN,4144.514381,2726.675725,NaN,2193.924789,NaN,NaN,2167.579477,2434.633657,3136.298046,NaN,NaN,3513.814634,3.745788578,NaN,NaN
2004,205,1.826455696,3.14,2817.363533,1358.697799,4101.250569,NaN,4211.444233,2758.360384,NaN,2233.10654,NaN,NaN,2268.492245,2459.981422,3135.060846,NaN,NaN,3745.931999,3.715110385,NaN,NaN
2004,206,1.924810127,3.4,2707.78538,1136.585417,3911.387422,NaN,4155.564245,2636.701502,NaN,2183.474618,NaN,NaN,2279.565935,2408.844688,3308.151372,NaN,NaN,3465.33381,3.734612051,NaN,NaN
2004,207,1.946962025,3.61,3087.584884,1638.753847,3905.780818,NaN,3997.583491,2454.283618,NaN,2197.858322,NaN,NaN,2249.595253,2280.209282,3401.353748,NaN,NaN,4017.716749,3.872814874,NaN,NaN
2004,208,2.103506494,3.27,2872.456677,1832.281229,NaN,NaN,NaN,2501.58378,NaN,2061.55211,NaN,NaN,2026.640375,NaN,3062.036869,NaN,NaN,3573.987139,3.47304931,NaN,NaN
2004,209,1.769873418,2.95,3247.180439,1644.398709,NaN,NaN,NaN,2965.288965,2954.205949,2354.921297,NaN,NaN,2389.441612,NaN,3421.55179,NaN,NaN,3602.278539,4.046775895,NaN,NaN
2004,210,1.952658228,3.2,2915.79016,1366.606064,NaN,NaN,NaN,2550.298406,2672.537994,2221.67118,NaN,NaN,2149.124682,NaN,3236.836367,NaN,NaN,3369.380997,3.770986638,NaN,NaN
2004,211,2.041265823,3.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,212,2.273037975,3.73,2295.776863,1062.36621,NaN,NaN,NaN,2232.77514,2430.883172,1903.568281,NaN,NaN,1844.374779,NaN,2923.31191,NaN,NaN,2815.313425,3.270359268,NaN,NaN
2004,213,2.643974359,4.29,1158.812654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1611.657583,NaN,2622.122067,NaN,NaN,NaN,NaN,NaN,NaN
2004,214,1.491518987,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,215,1.421898734,3.32,2668.471708,1618.189291,4201.1772,NaN,4068.616509,2639.757742,3126.380707,2359.418071,4013.322586,3537.951286,2299.48604,1807.489921,3849.403485,1825.26746,NaN,3554.279856,4.105372755,2.956079182,NaN
2004,216,1.411772152,2.65,3661.965387,1947.149394,5316.319972,NaN,4617.389442,3153.308687,3852.7232,2796.255878,4309.877727,4089.506824,2872.167172,2209.457673,3455.030514,2240.990565,NaN,4186.596938,5.159354709,3.285957275,NaN
2004,217,2.21556962,3.66,2670.901311,1177.441694,3916.583731,NaN,3324.983008,2169.781727,2656.111269,2117.810469,3417.940033,2825.038271,1900.573712,1831.987566,2662.937596,1503.905939,NaN,3276.859955,3.583193293,2.400002022,NaN
2004,218,2.394936709,3.46,2011.953977,NaN,NaN,NaN,2895.366926,2291.259654,NaN,2025.834266,3639.338513,3073.90045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,219,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,220,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,221,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,222,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,223,2.56,4.2,1480.830131,NaN,NaN,NaN,1347.342801,1736.663211,NaN,1683.977434,2986.211467,2502.614037,NaN,1299.551658,NaN,NaN,NaN,NaN,NaN,NaN,2930.887572
2004,224,2.591265823,4.23,2117.234966,772.153758,3184.235874,2451.932837,1562.53249,2003.324779,2105.35224,1875.247758,3430.507651,2642.608359,1518.825569,1360.754998,2654.908607,NaN,NaN,2954.836255,3.169253819,2.301091792,3289.587205
2004,225,2.465822785,4.24,2036.013754,826.8899654,3257.630506,2572.344302,2186.779889,2026.291613,2130.576784,1902.977218,3332.414455,2527.307494,1604.023774,1387.568143,2873.368893,1408.259947,NaN,3144.806269,3.060795294,2.350017589,3279.119414
2004,226,2.552531646,4.29,1943.499788,837.7549014,3044.498256,2571.256267,2142.95118,1905.899965,2153.035612,1847.792408,3149.120204,2350.180802,1583.003579,1324.756532,2690.708323,1415.407393,NaN,3134.013369,3.03814492,2.293114892,3392.704641
2004,227,2.565443038,4.08,2153.580869,951.881659,3063.508232,2597.322204,2127.456885,1942.347292,2202.832463,1774.075373,2963.821037,2422.649561,1625.185056,1352.570449,2644.777846,1476.35513,NaN,3136.277648,3.040203178,2.316890528,3679.613157
2004,228,1.921139241,3,2674.089192,1379.200518,4108.585274,3043.548474,2545.269302,2447.7928,2831.679882,2337.44892,3744.838222,2919.796632,1578.92072,1732.137618,3339.566728,1863.017581,NaN,3475.320154,3.670961858,2.848930389,4554.474359
2004,229,1.329746835,2.73,3205.650458,1528.042643,4855.587592,3657.862079,3725.381854,3259.397951,3416.460833,2108.226048,4155.546626,3514.581072,2773.664328,2161.547062,3550.426492,2256.23089,NaN,3092.173888,4.347107572,3.299123999,5104.538117
