# STATION: MSI01
# STATION NAME: Olympus Hills - MSI
# LATITUDE: 40.67250
# LONGITUDE: -111.80220
# ELEVATION [ft]: 4960
# STATE: UT
Station_ID,Date_Time,PM_25_concentration_set_1,altimeter_set_1,pressure_set_1,air_temp_set_1,ozone_concentration_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_five_minute_set_1,precip_accum_fifteen_minute_set_1,solar_radiation_set_1,volt_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,wet_bulb_temperature_set_1d,altimeter_set_1d
,,ug/m3,Pascals,Pascals,Celsius,ppb,%,m/s,Degrees,m/s,Millimeters,Millimeters,W/m**2,volts,Celsius,Celsius,code,Pascals,Pascals,Pascals,Celsius,Celsius,Pascals
MSI01,01/01/2004 23:00 MST,,,85747.0,5.0,,56.0,5.9,193.0,12.38,,0.0,0.0,,-3.14,,SSW,,102909.54,,,,102910.7
MSI01,01/01/2004 23:15 MST,,,85747.0,5.06,,57.0,5.99,191.0,12.47,,0.0,0.0,,-2.85,,S,,102905.55,,,,102910.7
MSI01,01/01/2004 23:30 MST,,,85747.0,4.89,,58.0,5.81,193.0,10.64,,0.0,0.0,,-2.77,,SSW,,102916.82,,,,102910.7
MSI01,01/01/2004 23:45 MST,,,85747.0,4.94,,57.0,5.54,190.0,10.73,,0.0,0.0,,-2.96,,S,,102913.51,,,,102910.7
MSI01,01/02/2004 00:15 MST,,,85690.0,5.06,,56.0,5.54,193.0,12.38,,0.0,0.0,,-3.09,,SSW,,102837.15,,,,102842.29
MSI01,01/02/2004 00:30 MST,,,85690.0,5.22,,54.0,6.3,194.0,13.32,,0.0,0.0,,-3.43,,SSW,,102826.57,,,,102842.29
MSI01,01/02/2004 00:45 MST,,,85690.0,5.22,,53.0,6.03,193.0,12.16,,0.0,0.0,,-3.68,,SSW,,102826.58,,,,102842.29
MSI01,01/02/2004 01:00 MST,,,85747.0,5.06,,54.0,4.87,205.0,10.95,,0.0,0.0,,-3.58,,SSW,,102905.57,,,,102910.7
MSI01,01/02/2004 01:15 MST,,,85776.0,4.5,,61.0,4.74,270.0,13.9,,0.0,0.0,,-2.45,,W,,102977.55,,,,102945.51
MSI01,01/02/2004 01:30 MST,,,85863.0,2.89,,81.0,4.78,314.0,11.89,,0.0,0.0,,-0.09,,NW,,103189.91,,,,103049.92
MSI01,01/02/2004 01:45 MST,,,85834.0,1.28,,95.0,5.05,333.0,9.25,,0.0,0.0,,0.56,,NNW,,103264.37,,,,103015.12
MSI01,01/02/2004 02:00 MST,,,85863.0,0.89,,99.0,2.91,324.0,5.54,,0.0,0.0,,0.75,,NW,,103325.96,,,,103049.92
MSI01,01/02/2004 02:15 MST,,,85891.0,0.78,,100.0,2.51,320.0,5.99,,0.0,0.0,,0.78,,NW,,103367.2,,,,103083.53
MSI01,01/02/2004 02:30 MST,,,85949.0,0.56,,100.0,2.73,323.0,5.19,,0.0,0.0,,0.56,,NW,,103452.14,,,,103153.14
MSI01,01/02/2004 02:45 MST,,,85949.0,0.28,,100.0,2.28,320.0,5.14,,0.254,0.0,,0.28,,NW,,103471.44,,,,103153.14
MSI01,01/02/2004 03:00 MST,,,85949.0,0.17,,100.0,1.3,328.0,2.86,,0.508,0.0,,0.17,,NNW,,103479.04,,,,103153.14
MSI01,01/02/2004 03:15 MST,,,85949.0,0.11,,100.0,1.25,358.0,2.73,,0.254,0.0,,0.11,,N,,103483.18,,,,103153.14
MSI01,01/02/2004 03:30 MST,,,85978.0,0.11,,100.0,2.51,326.0,5.23,,0.254,0.0,,0.11,,NW,,103518.1,,,,103187.94
MSI01,01/02/2004 03:45 MST,,,85978.0,0.17,,100.0,2.06,281.0,5.05,,0.0,0.0,,0.17,,W,,103513.95,,,,103187.94
