doy,Jordan,Reservoir,Todds,Upper
174,5.172403528,NaN,NaN,NaN
175,6.679639435,NaN,NaN,NaN
176,4.061578955,NaN,NaN,NaN
177,4.563645876,NaN,NaN,NaN
178,4.616970096,NaN,NaN,NaN
179,4.259975362,NaN,NaN,NaN
180,4.215405982,NaN,NaN,NaN
181,3.72004465,NaN,NaN,NaN
182,5.893118903,NaN,NaN,NaN
183,5.636582567,NaN,NaN,NaN
184,5.218335219,NaN,NaN,NaN
185,4.920718129,NaN,NaN,NaN
186,4.541580767,NaN,NaN,NaN
187,3.839186947,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,2.35763709
198,NaN,NaN,NaN,1.840607919
199,5.978465461,3.212042089,3.332474088,2.561044547
200,4.491561196,2.254273738,2.503892981,1.92167646
201,5.066870329,3.089458813,2.969508918,2.440807246
202,5.066870329,2.696011226,2.844200878,2.138240807
203,4.696415473,3.390291026,3.362147828,2.552917265
204,5.906710177,NaN,3.21228595,2.396732262
205,5.160816186,3.247422557,3.203238131,NaN
206,5.636582567,3.282583764,3.515468956,NaN
207,5.532201408,3.402341082,3.612046656,NaN
208,6.104771626,3.32146557,3.290253031,2.584821594
209,4.541580767,3.077420315,2.954609167,2.286041139
210,5.28983659,3.178138392,3.20749694,2.568692456
211,6.441080884,3.587614395,3.670953092,3.065724807
212,5.884096006,3.714537879,3.799351477,2.887110609
213,6.535236292,3.823819741,4.292368515,3.15139896
214,3.581306591,2.72481372,3.090418606,NaN
215,3.86194371,3.310066426,3.431718489,NaN
216,5.253851652,2.885109327,2.748251835,NaN
217,6.422810867,3.158398071,3.713521531,NaN
218,6.694793254,3.062235175,3.475552588,NaN
219,7.433844296,2.96081562,NaN,NaN
220,5.683111315,3.477764715,NaN,NaN
221,5.728271811,3.132704749,NaN,NaN
222,7.10483324,3.804066846,NaN,NaN
223,7.328480904,3.243068791,4.297694917,NaN
224,7.190433641,3.984609629,4.230751582,3.265273633
225,6.639879677,3.921339875,4.235111906,3.329037525
226,6.687899429,4.168064531,4.378735334,3.496889656
227,6.000614853,3.955826136,4.154807864,3.264368968
228,4.726707187,2.940403175,3.029082589,2.312594057
229,4.202794485,2.016958472,2.869275059,1.803635417
230,2.823760636,1.771864499,2.010677361,1.508674726
231,NaN,1.617660216,1.54401636,0.972692963
232,NaN,1.926478673,1.871665968,1.354400502
233,NaN,2.251786809,2.313674464,1.688966977
234,NaN,2.450109693,2.288795144,1.742103738
235,NaN,2.376703433,2.807663555,2.021321336
236,NaN,0.840547332,0.799035736,0.623711386
237,NaN,1.141816877,1.18582686,0.61637686
238,NaN,1.917938911,2.301086212,1.753808087
239,NaN,1.431639694,1.149995309,0.959715513
240,NaN,1.652765307,1.510748439,1.134429625
241,NaN,2.410874675,2.222896929,1.846523915
242,NaN,3.164561642,2.929210568,2.277438243
243,NaN,3.421922362,3.557550915,2.752651616
244,NaN,3.804464713,3.961089547,3.20477008
245,NaN,3.989624094,4.242207997,3.271999793
246,NaN,2.631170996,2.554533846,1.985406325
247,NaN,0.902408964,0.651640198,0.432920173
248,0.630929123,0.810845176,0.881236674,0.666113079
249,0.636109433,1.905670902,1.874597384,1.499802787
250,2.253261268,2.74291486,2.563865337,2.029423126
251,3.85766707,3.096513879,3.164735795,2.513432026
252,4.513368042,3.514376094,3.517884931,2.767835859
253,4.584023234,3.625996068,3.657158319,2.85376596
254,3.874320032,3.209056412,3.269793183,NaN
255,4.675048731,3.747580013,3.696697307,NaN
256,3.601876803,2.470922381,2.739417121,NaN
257,2.13223003,1.921251873,1.730348496,NaN
258,1.401377508,1.400748159,1.222032334,NaN
259,2.54989473,2.061440119,1.827907502,NaN
260,3.573519505,2.780565915,2.780122729,2.283457914
261,4.000313379,2.806779784,3.259475676,2.953135529
262,3.647200483,2.652592022,2.887323552,2.557265965
263,2.096330443,1.569667131,1.816418139,1.417803916
264,0.549691697,0.590056041,0.380394232,0.30221296
265,1.020821489,NaN,NaN,NaN
266,1.351009103,NaN,NaN,NaN
267,2.094664728,NaN,NaN,NaN
268,2.866163276,NaN,NaN,NaN
269,2.838772534,NaN,NaN,NaN
270,3.209052876,NaN,NaN,NaN
271,3.296636273,NaN,NaN,NaN
272,3.143378073,NaN,NaN,NaN
