doy,Jordan,Reservoir,Todds,Upper
174,1.753058743,NaN,NaN,NaN
175,2.303311914,NaN,NaN,NaN
176,1.342771105,NaN,NaN,NaN
177,0.800515239,NaN,NaN,NaN
178,1.53910188,NaN,NaN,NaN
179,1.458357233,NaN,NaN,NaN
180,1.101276797,NaN,NaN,NaN
181,0.962281986,NaN,NaN,NaN
182,1.633728932,NaN,NaN,NaN
183,2.110070317,NaN,NaN,NaN
184,1.978258646,NaN,NaN,NaN
185,1.528500819,NaN,NaN,NaN
186,1.585199365,NaN,NaN,NaN
187,1.598205486,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,0.801057308
198,NaN,NaN,NaN,0.633588008
199,1.398880748,1.203785695,1.110738735,0.75318309
200,1.513718711,0.831748988,0.769786288,0.483066912
201,1.480522796,1.130335046,0.962540543,0.713129798
202,1.604711141,0.910340878,0.831342765,0.554734236
203,1.475678924,1.303642114,1.076601478,0.738982069
204,1.854199343,NaN,1.331158535,0.571792498
205,1.927969162,1.878119436,1.158218925,NaN
206,2.038890073,1.717843647,1.382189249,NaN
207,1.811934249,1.684637855,1.280127802,NaN
208,1.818787077,1.619760854,1.406554082,1.563738402
209,1.819513926,1.335001652,1.138160719,0.83884686
210,2.155032141,1.600044868,1.282515736,0.976154594
211,2.342753992,2.259492304,1.375350112,1.038579649
212,2.414923283,1.871572527,1.507129898,1.100733582
213,2.849626021,1.916459961,1.753778231,1.052714801
214,1.890419008,1.24940311,1.06182927,NaN
215,1.377096656,1.046939893,0.91534775,NaN
216,1.500156527,1.037475485,0.859487435,NaN
217,2.382708613,1.503120839,1.368112727,NaN
218,2.26561459,1.608484652,1.728661107,NaN
219,2.765361021,1.692802722,NaN,NaN
220,2.159482294,1.544589198,NaN,NaN
221,2.108593913,1.557727805,NaN,NaN
222,2.470830975,1.848388902,NaN,NaN
223,2.722880837,1.617539927,1.647288915,NaN
224,2.542592162,1.898376082,1.692278747,1.907859902
225,1.936456385,2.007841004,1.62094611,1.150631528
226,2.270255243,2.042720404,1.693265477,1.28715611
227,2.29762145,1.990363033,1.703754348,1.209604495
228,2.051831838,1.478800239,1.378560986,0.970800806
229,1.259126639,0.936825455,0.901197985,0.584736799
230,0.800793168,0.728202589,0.693081253,0.49100858
231,NaN,0.531245197,0.492124396,0.290364381
232,NaN,0.786670416,0.616686028,0.362828879
233,NaN,0.803957104,0.72403718,0.537535989
234,NaN,0.880116587,0.779532191,0.539359224
235,NaN,1.065603909,0.969013496,0.595414209
236,NaN,0.283290645,0.242679501,0.148586905
237,NaN,0.370123942,0.252552763,0.105813024
238,NaN,0.771759513,0.816201983,0.501969439
239,NaN,0.594893561,0.442226128,0.317020074
240,NaN,0.633631542,0.519751931,0.371816364
241,NaN,0.923823366,0.771308449,0.594703004
242,NaN,1.173691609,1.053930935,0.784326881
243,NaN,1.450508498,1.270103642,0.941504908
244,NaN,1.768999028,1.467223216,1.031741609
245,NaN,1.840193293,1.63453618,1.225628363
246,NaN,1.152899146,1.052774087,0.767207063
247,NaN,0.166167573,0.124602278,0.095709848
248,0.627588574,0.195956462,0.206260243,0.170465561
249,0.625387558,0.688513563,0.585323902,0.468666698
250,0.679072618,1.023296353,0.862229884,0.669157495
251,1.133885984,1.257685048,1.100937243,0.844753572
252,1.426145254,1.486311029,1.278838972,0.884232097
253,1.71751655,1.488595052,1.363158867,0.854528532
254,1.860368543,1.326572511,1.187311772,NaN
255,1.620207112,1.508649284,1.372400512,NaN
256,1.655458592,0.943812399,0.991795837,NaN
257,0.851097882,0.61379877,0.549631127,NaN
258,0.664812884,0.517368559,0.452997094,NaN
259,0.827668223,0.783744077,0.645681353,NaN
260,1.034332603,1.096335888,0.994945018,1.170898783
261,1.877508776,1.463473023,1.657537258,1.015696845
262,2.075411702,1.833441854,2.161896262,1.273980564
263,0.723432236,0.378596367,0.482258105,0.364258363
264,0.158894667,0.120385483,0.11118037,0.071950342
265,0.30421953,NaN,NaN,NaN
266,0.44929999,NaN,NaN,NaN
267,0.66728611,NaN,NaN,NaN
268,0.909303674,NaN,NaN,NaN
269,0.8898937,NaN,NaN,NaN
270,0.968163786,NaN,NaN,NaN
271,0.962826143,NaN,NaN,NaN
272,0.986727418,NaN,NaN,NaN
