doy,Jordan,Reservoir,Todds,Upper
174,2.575516756,NaN,NaN,NaN
175,3.346416813,NaN,NaN,NaN
176,1.745181047,NaN,NaN,NaN
177,0.938232493,NaN,NaN,NaN
178,2.102870114,NaN,NaN,NaN
179,1.916249467,NaN,NaN,NaN
180,1.532469753,NaN,NaN,NaN
181,1.386099075,NaN,NaN,NaN
182,2.381717277,NaN,NaN,NaN
183,2.967348689,NaN,NaN,NaN
184,2.671203895,NaN,NaN,NaN
185,2.030827131,NaN,NaN,NaN
186,2.184414732,NaN,NaN,NaN
187,2.239692246,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,1.21170793
198,NaN,NaN,NaN,0.863879935
199,2.014501738,1.576696171,1.623229717,1.137235719
200,2.190272827,1.171735789,1.194354487,0.757184944
201,2.032062847,1.627120141,1.427004936,1.095083713
202,2.296281552,1.345611676,1.263591888,0.871816274
203,2.084465068,1.809690996,1.602757143,1.126419966
204,2.577357918,NaN,1.844776678,1.097893495
205,2.681530895,2.26060049,1.685873723,NaN
206,2.797450759,2.01977339,1.806583955,NaN
207,2.448954111,2.01929561,1.794264152,NaN
208,2.37182277,2.101000101,2.011538679,1.953012434
209,2.463435971,1.766099548,1.641383139,1.234169663
210,2.865695259,2.082418404,1.815163422,1.390816704
211,3.118757848,2.462827648,1.896358608,1.408110518
212,3.201676995,2.290257619,2.11211563,1.516108887
213,3.632796593,2.408462051,2.462599726,1.546327512
214,2.13121981,1.382482049,1.39479155,NaN
215,1.707096133,1.419370047,1.313066876,NaN
216,2.103659272,1.512614973,1.307746704,NaN
217,3.248906196,1.983698282,2.049146122,NaN
218,2.983227155,2.065400668,2.285809263,NaN
219,3.529154819,1.969770095,NaN,NaN
220,2.910086214,2.027520327,NaN,NaN
221,3.020464855,1.960896363,NaN,NaN
222,3.578191929,2.317943533,NaN,NaN
223,3.952230755,2.320344268,2.231022747,NaN
224,3.657382361,2.409420256,2.391565306,2.30916317
225,2.657582029,2.472159763,2.296324834,1.640061738
226,3.142118956,2.505341222,2.37110792,1.794958288
227,3.185143513,2.470717459,2.377783439,1.691649144
228,2.456897395,1.8742229,1.864484475,1.352254968
229,1.597784774,1.139901881,1.233551728,0.800912563
230,0.994399456,0.902728782,0.966194578,0.682878772
231,NaN,0.663287418,0.712242128,0.414625069
232,NaN,1.063997251,0.946833334,0.553868336
233,NaN,1.052422259,1.065333653,0.787088628
234,NaN,1.146017758,1.134509185,0.776655756
235,NaN,1.396010366,1.362039324,0.839389252
236,NaN,0.197743768,0.195927286,0.113706478
237,NaN,0.444062622,0.384196481,0.153881547
238,NaN,1.098314479,1.244237769,0.770167608
239,NaN,0.777811717,0.63843726,0.448769377
240,NaN,0.913233625,0.78374743,0.562778594
241,NaN,1.26481284,1.17024975,0.905808544
242,NaN,1.583195213,1.544072388,1.136417101
243,NaN,1.883667991,1.834141563,1.356255724
244,NaN,2.185972391,2.120444655,1.501118687
245,NaN,2.203615657,2.296881646,1.699293452
246,NaN,1.296320349,1.350883716,1.000445209
247,NaN,0.081734631,0.089325968,0.067300308
248,0.628005704,0.302355466,0.317276794,0.260254181
249,0.626720545,0.993439454,0.903025837,0.709077076
250,0.806345884,1.350191277,1.286341266,0.989469038
251,1.793599686,1.573230137,1.588330075,1.198920628
252,2.249083162,1.77218169,1.821710152,1.205602109
253,2.355184984,1.926682197,1.917176424,1.257264585
254,2.363852315,1.68628017,1.64869461,NaN
255,2.39040381,1.924585116,1.898703055,NaN
256,1.942551055,1.278699404,1.426991925,NaN
257,1.192794727,0.919361613,0.846059689,NaN
258,0.93527092,0.722320622,0.662841638,NaN
259,1.311144454,1.078939386,0.942824104,NaN
260,1.639555612,1.446190545,1.422101852,1.387855166
261,2.570914186,1.854889892,2.077424546,1.493785648
262,2.609536944,2.085791382,2.325926437,1.751751169
263,0.818568417,0.379895893,0.51820041,0.416443101
264,0.204427169,0.144894665,0.128426523,0.07894541
265,0.482696363,NaN,NaN,NaN
266,0.711049419,NaN,NaN,NaN
267,1.061143621,NaN,NaN,NaN
268,1.425785303,NaN,NaN,NaN
269,1.416675211,NaN,NaN,NaN
270,1.533410656,NaN,NaN,NaN
271,1.464750182,NaN,NaN,NaN
272,1.385022004,NaN,NaN,NaN
