doy,Jordan,Reservoir,Todds,Upper
174,0.099798143,NaN,NaN,NaN
175,0.150260218,NaN,NaN,NaN
176,0,NaN,NaN,NaN
177,0,NaN,NaN,NaN
178,0.346481712,NaN,NaN,NaN
179,0.305233889,NaN,NaN,NaN
180,0.195804196,NaN,NaN,NaN
181,0.077927836,NaN,NaN,NaN
182,0.075122796,NaN,NaN,NaN
183,0.298723371,NaN,NaN,NaN
184,0.536948825,NaN,NaN,NaN
185,0.328279103,NaN,NaN,NaN
186,0.319528135,NaN,NaN,NaN
187,0.142867699,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,0.051983117
198,NaN,NaN,NaN,0.091445756
199,0.099918729,0.053280426,0.046519008,0.027273515
200,0.01828456,0.039684862,0.022931041,0.013697511
201,0,0.07173219,0.036621534,0.039284929
202,0,0.070366266,0.031877488,0.022433572
203,0.09522128,0.186808999,0.061612077,0.03975811
204,0.122099768,NaN,0.148456773,-17.30972686
205,0.282355714,0.685171176,0.171920673,NaN
206,0.258432485,0.914909929,0.367905556,NaN
207,0.257507432,0.7912912,0.273650405,NaN
208,0.453011404,0.387419044,0.158916885,0.255215734
209,0.560047746,0.385442021,0.172621666,0.10190207
210,0,0.386204379,0.161064144,0.130829102
211,0.541817722,1.027971176,0.205342801,0.302541568
212,0.457968126,0.639244883,0.233741911,0.199153961
213,1.265303556,0.719695652,0.279374786,0.235499365
214,0.829157521,0.424348989,0.289035607,NaN
215,0.619961283,0.086686253,0.07068504,NaN
216,0.269261414,0.074937216,0.058241829,NaN
217,0.588661199,0.212858175,0.042526031,NaN
218,0,0.382100862,0.301491838,NaN
219,1.000740086,0.430649515,NaN,NaN
220,0,0.361440304,NaN,NaN
221,0.207915934,0.484857457,NaN,NaN
222,0,0.574793597,NaN,NaN
223,0.309166573,0.851966145,0.647404596,NaN
224,0.289628314,0.839876784,0.293528311,0.356048453
225,0,0.983402477,0.230622075,0.180669045
226,0,0.709340988,0.262411073,0.263680159
227,0.404123491,0.696608451,0.330432923,0.227253401
228,0.593258914,0.491334332,0.287613817,0.186345188
229,0.45711401,0.412203948,0.240432252,0.1477945
230,0,0.169277645,0.09372902,0.077385935
231,NaN,0.085359761,0.022923979,0.015663705
232,NaN,0.193395587,0.01791327,0.009800608
233,NaN,0.189474087,0.074230185,0.050292741
234,NaN,0.187707969,0.056083587,0.048894811
235,NaN,0.292394996,0.138911505,0.082815459
236,NaN,0.059581255,0.032352447,0.027339829
237,NaN,0.065776252,0.025998995,0.015136334
238,NaN,0.074517546,0.031156163,0.016977598
239,NaN,0.128752933,0.075959282,0.046356
240,NaN,0.068288978,0.027031723,0.028431504
241,NaN,0.151695654,0.05351732,0.036212044
242,NaN,0.257083608,0.141626766,0.100394783
243,NaN,0.519530998,0.183193867,0.171560066
244,NaN,0.660360822,0.201798998,0.111319121
245,NaN,0.855449263,0.324276508,0.278886007
246,NaN,0.503949089,0.395606191,0.272478085
247,NaN,0.018825922,0.009184542,0.01332656
248,0.623664946,0.014297961,0.007327933,0.010081668
249,0.613394801,0.018041856,0.014638032,0.015057755
250,0,0.203983868,0.093157308,0.07892434
251,0,0.333184028,0.162076223,0.130750405
252,0,0.428838148,0.237748256,0.215714492
253,0.061155815,0.378351662,0.211957349,0.144911915
254,0.109962131,0.299070656,0.143017341,NaN
255,0,0.437464606,0.296919788,NaN
256,0.052085646,0.052694351,0.047600466,NaN
257,0.021748559,0.031699152,0.024977582,NaN
258,0,0.074434239,0.050835247,NaN
259,0,0.131388019,0.075496838,NaN
260,0,0.250617264,0.192090177,0.284283237
261,0.018334759,0.265320853,0.193758076,0.093330403
262,0.517446293,0.638490332,1.371106131,0.280291464
263,0.081156479,0.041877608,0.051356348,0.035099602
264,0,0.021487781,0.009430493,0.008188209
265,0,NaN,NaN,NaN
266,0,NaN,NaN,NaN
267,0,NaN,NaN,NaN
268,0,NaN,NaN,NaN
269,0,NaN,NaN,NaN
270,0,NaN,NaN,NaN
271,0,NaN,NaN,NaN
272,0,NaN,NaN,NaN
