doy,Jordan,Reservoir,Todds,Upper
174,0.099798143,NaN,NaN,NaN
175,0.470185329,NaN,NaN,NaN
176,0,NaN,NaN,NaN
177,0,NaN,NaN,NaN
178,0.354731277,NaN,NaN,NaN
179,0.305233889,NaN,NaN,NaN
180,0.304164632,NaN,NaN,NaN
181,0.137407366,NaN,NaN,NaN
182,0.240245574,NaN,NaN,NaN
183,0.701799993,NaN,NaN,NaN
184,0.734932685,NaN,NaN,NaN
185,0.354858737,NaN,NaN,NaN
186,0.494643457,NaN,NaN,NaN
187,0.142867699,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,0.051983117
198,NaN,NaN,NaN,0.101747284
199,0.158557664,0.053280426,0.06390724,0.040157619
200,0.436398695,0.041805869,0.025387486,0.018430953
201,0,0.156352821,0.036621534,0.039985847
202,0,0.17354682,0.031877488,0.025570582
203,0.106837297,0.186808999,0.061612077,0.068746192
204,0.122099768,NaN,0.152815607,NaN
205,0.28792908,0.801111822,0.171920673,NaN
206,0.265417147,0.980431958,0.531243919,NaN
207,0.284960805,0.809775238,0.273650405,NaN
208,0.453011404,0.387419044,0.158916885,0.798152226
209,0.569536753,0.493243203,0.172621666,0.133947538
210,0,0.386204379,0.161064144,0.130829102
211,0.839565973,1.027971176,0.205342801,0.302541568
212,0.513603224,0.639244883,0.233741911,0.199153961
213,1.36659726,0.719695652,0.279374786,0.247074884
214,1.023503479,0.522484247,0.385513225,NaN
215,0.619961283,0.086686253,0.07068504,NaN
216,0.269261414,0.203524417,0.06646815,NaN
217,0.661874609,0.337054028,0.060762826,NaN
218,0.740998456,0.382100862,0.301491838,NaN
219,1.000740086,0.430649515,NaN,NaN
220,0,0.361440304,NaN,NaN
221,0.207915934,0.484857457,NaN,NaN
222,0,0.574793597,NaN,NaN
223,0.477309349,1.404635915,0.894942585,NaN
224,0.325201729,0.886068294,0.293528311,0.572817541
225,0,1.007778628,0.230622075,0.180669045
226,0,0.893682972,0.262411073,0.263680159
227,0.945717992,0.696608451,0.330432923,0.227253401
228,0.593258914,0.514986927,0.287613817,0.233971096
229,0.550060465,0.514988532,0.257298706,0.171904449
230,0.177092213,0.169277645,0.09372902,0.077385935
231,NaN,0.097617232,0.093774791,0.037482833
232,NaN,0.193395587,0.01791327,0.009800608
233,NaN,0.189474087,0.074230185,0.050292741
234,NaN,0.187707969,0.056083587,0.048894811
235,NaN,0.292394996,0.138911505,0.082815459
236,NaN,0.059581255,0.072787365,0.055714454
237,NaN,0.068562495,0.025998995,0.015136334
238,NaN,0.097467182,0.037438553,0.016977598
239,NaN,0.181355387,0.079415438,0.046356
240,NaN,0.069356493,0.027031723,0.028703041
241,NaN,0.151695654,0.05351732,0.036212044
242,NaN,0.257083608,0.141626766,0.100394783
243,NaN,0.519530998,0.183193867,0.171560066
244,NaN,0.660360822,0.201798998,0.111319121
245,NaN,0.855449263,0.324276508,0.3101811
246,NaN,0.503949089,0.395606191,0.281706005
247,NaN,0.023952592,0.019238562,0.028450409
248,0.623664946,0.016630616,0.012456324,0.014905263
249,0.613394801,0.022365575,0.016143385,0.015057755
250,0,0.203983868,0.093157308,0.102119756
251,0,0.377428866,0.17930582,0.130750405
252,0,0.428838148,0.237748256,0.215714492
253,0.069192663,0.378351662,0.211957349,0.144911915
254,0.452949288,0.299070656,0.143017341,NaN
255,0.262686434,0.437464606,0.296919788,NaN
256,0.41742466,0.073643901,0.071114068,NaN
257,0.024334605,0.032434851,0.029863678,NaN
258,0.101544633,0.090428585,0.072902934,NaN
259,0,0.136045913,0.075496838,NaN
260,0,0.250617264,0.192090177,0.289460562
261,0.743049212,0.265320853,0.193758076,0.093330403
262,1.049261768,1.511269687,1.735610511,0.372239319
263,0.092151556,0.041877608,0.051356348,0.035099602
264,0,0.021487781,0.009430493,0.00957648
265,0,NaN,NaN,NaN
266,0,NaN,NaN,NaN
267,0,NaN,NaN,NaN
268,0,NaN,NaN,NaN
269,0,NaN,NaN,NaN
270,0,NaN,NaN,NaN
271,0,NaN,NaN,NaN
272,0,NaN,NaN,NaN
