doy,Jordan,Reservoir,Todds,Upper
174,37.2,NaN,NaN,NaN
175,41.4,NaN,NaN,NaN
176,34.2,NaN,NaN,NaN
177,35.6,NaN,NaN,NaN
178,36.4,NaN,NaN,NaN
179,35.3,NaN,NaN,NaN
180,34.75,NaN,NaN,NaN
181,32.75,NaN,NaN,NaN
182,39.5,NaN,NaN,NaN
183,38.9,NaN,NaN,NaN
184,37.25,NaN,NaN,NaN
185,36.4,NaN,NaN,NaN
186,36.1,NaN,NaN,NaN
187,32.5,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,27.16
198,NaN,NaN,NaN,26.48
199,41.7,31.9,31.61,28.23
200,37.8,29.3,29.08,26.57
201,38.6,31.25,29.66,27.28
202,38.6,30.46,29.21,26.75
203,37.2,32.01,30.77,27.6
204,40.6,NaN,30.51,68.96
205,37.5,30.6,29.42,NaN
206,38.9,31.62,30.13,NaN
207,38.9,31.56,30.73,NaN
208,41.1,31.53,30.02,27.19
209,36.1,30.06,27.89,25.01
210,37.5,30.04,28.84,25.6
211,41.4,31.8,30.8,27.93
212,40.05,32.65,31.46,28.11
213,41.1,32.21,32.31,28.65
214,32.8,29.48,29.51,NaN
215,33.9,31.63,30.65,NaN
216,38.9,30.45,28.21,NaN
217,41.7,30.79,31.5,NaN
218,42.25,30.09,30.4,NaN
219,43.9,29.16,NaN,NaN
220,38.9,30.79,NaN,NaN
221,39.2,30.05,NaN,NaN
222,42.8,32.47,NaN,NaN
223,43.05,29.74,32.32,NaN
224,42.8,32.84,32.17,28.26
225,41.4,32.58,32.09,28.47
226,41.65,33.19,32.8,29.37
227,40.3,33.08,32.38,28.99
228,36.95,30.29,29.29,26.1
229,35.3,26.75,28.5,23.65
230,30.55,25.48,24.27,21.31
231,NaN,24.61,22.94,19.26
232,NaN,26.28,25.01,22.15
233,NaN,27.52,26.16,22.63
234,NaN,28.11,25.67,22.75
235,NaN,27.34,27.42,23.58
236,NaN,17.32,16.05,14.84
237,NaN,20.51,19.6,15.47
238,NaN,23.83,24.43,21.26
239,NaN,20.81,17.16,15.27
240,NaN,22.11,19.6,17.16
241,NaN,25.73,23.29,20.85
242,NaN,29.45,26.79,23.71
243,NaN,30.63,29.51,26.15
244,NaN,32.06,31.05,27.85
245,NaN,32.87,32.23,28.34
246,NaN,27.77,25.37,22.18
247,NaN,15.41,13.35,11.19
248,0.483,16.41,15.75,13.01
249,0.609,23.34,21.41,18.59
250,25.31,27.48,25.15,22.06
251,31.91,29.48,28.09,24.88
252,34.11,30.8,29.39,25.74
253,34.11,31.52,29.78,25.97
254,32.63,30.23,28.5,NaN
255,34.93,32.42,30.76,NaN
256,32.27,27.14,26.96,NaN
257,24.95,24.12,21.29,NaN
258,18.74,18.45,15.57,NaN
259,24.94,23.22,20.17,NaN
260,30.11,27.36,25.67,23.23
261,32.24,27.35,27.78,26.49
262,30.24,26.09,26.16,24.45
263,23.2,19.59,20.4,17.65
264,12.46,12.79,8.97,7.86
265,15.44,NaN,NaN,NaN
266,17.85,NaN,NaN,NaN
267,24.06,NaN,NaN,NaN
268,27.37,NaN,NaN,NaN
269,27.42,NaN,NaN,NaN
270,28.89,NaN,NaN,NaN
271,29.53,NaN,NaN,NaN
272,29.13,NaN,NaN,NaN
