doy,Jordan,Reservoir,Todds,Upper
174,19.871875,NaN,NaN,NaN
175,22.64166667,NaN,NaN,NaN
176,22.28888889,NaN,NaN,NaN
177,18.915625,NaN,NaN,NaN
178,21.84375,NaN,NaN,NaN
179,21.45625,NaN,NaN,NaN
180,18.56979167,NaN,NaN,NaN
181,18.08854167,NaN,NaN,NaN
182,20.915625,NaN,NaN,NaN
183,23.17604167,NaN,NaN,NaN
184,22.56770833,NaN,NaN,NaN
185,20.69270833,NaN,NaN,NaN
186,21.375,NaN,NaN,NaN
187,20.72083333,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,19.09159722
198,NaN,NaN,NaN,17.82777778
199,23.68854167,21.73131944,20.52972222,18.39701389
200,24.65208333,21.19597222,19.76243056,17.78388889
201,24.52555556,22.24041667,20.34083333,18.51048611
202,24.33888889,20.34041667,19.15673611,17.36986111
203,23.02395833,21.66527778,19.451875,17.310625
204,23.9,NaN,20.40993056,18.82714286
205,23.565625,23.33629032,18.66409722,NaN
206,23.678125,22.26291667,19.92902778,NaN
207,22.70625,22.41819444,19.07743056,NaN
208,23.865625,21.85034722,19.57566434,21.04710145
209,23.753125,20.07145833,17.89243056,15.75361111
210,24.92666667,20.93632479,17.85819444,15.84743056
211,24.69166667,25.55447059,18.85770833,16.98798611
212,25.33333333,22.75111111,19.65652778,17.39958042
213,27.29166667,22.16055556,19.99839161,15.63230769
214,24.39791667,20.47701389,18.72902778,NaN
215,22.40208333,19.20388889,17.55395833,NaN
216,22.6625,19.55423611,17.62236111,NaN
217,26.19791667,21.94506944,19.77138889,NaN
218,26.87888889,22.07979167,21.64581395,NaN
219,27.59583333,22.08194444,NaN,NaN
220,23.39782609,19.67243056,NaN,NaN
221,21.915625,19.7425,NaN,NaN
222,23.4106383,21.16111111,NaN,NaN
223,24.70833333,19.20426829,19.17777778,NaN
224,23.75,21.53881944,18.763125,21.24901235
225,22.44772727,22.76673611,19.21409722,16.45027778
226,23.89361702,22.66409722,19.29465278,17.079375
227,24.059375,22.72138889,19.64506944,16.87930556
228,24.88125,21.77145833,20.15111111,17.56472222
229,21.79583333,19.02909722,17.91444444,15.72034722
230,19.37446809,17.08638889,15.93694444,14.16979167
231,NaN,16.07305556,14.88263889,12.90472222
232,NaN,18.29777778,16.08444444,13.96493056
233,NaN,17.49333333,15.80729167,14.39194444
234,NaN,17.60027778,15.68631944,13.99458333
235,NaN,18.33395833,16.61041667,14.224375
236,NaN,13.55774436,12.42291667,11.15597222
237,NaN,13.88623529,11.42798611,9.9405625
238,NaN,15.36423611,14.78777778,12.57086111
239,NaN,13.61672222,11.57320833,10.13692361
240,NaN,12.17209028,10.08003472,8.486013889
241,NaN,14.54202083,11.82625,10.11374306
242,NaN,16.160625,13.84509028,12.09379861
243,NaN,18.633125,15.76888889,13.86064583
244,NaN,20.65673611,17.04659722,14.48443056
245,NaN,21.274375,18.40993056,16.27284722
246,NaN,17.84048611,16.51340278,14.48125
247,NaN,9.389305556,8.122909722,7.102819444
248,0.407083333,9.184597222,8.3634375,7.0270625
249,0.351583333,12.33327778,10.26875,8.672916667
250,4.493914894,15.61298611,12.97792361,11.19391667
251,15.21266667,17.17368056,14.66466667,12.85925
252,16.99775,18.90041667,16.02006944,13.82003472
253,20.220625,18.80902778,16.74555556,12.60818681
254,22.57791667,18.43048611,16.42979167,NaN
255,19.95535417,19.61666667,17.45395833,NaN
256,23.383125,17.65888889,17.21451389,NaN
257,16.4665,14.38555556,12.88430556,NaN
258,12.3445,10.15870833,8.656875,NaN
259,10.787875,10.999625,8.659986111,NaN
260,13.81272917,14.81411806,12.93104861,15.40569767
261,21.24197917,18.61569444,18.72409722,14.04040972
262,22.019375,20.90611111,22.08083333,15.91034722
263,15.28458333,11.85722222,11.97509722,10.34336111
264,7.510645833,5.358286713,4.225493056,2.810055556
265,7.025,NaN,NaN,NaN
266,7.5865,NaN,NaN,NaN
267,10.69908333,NaN,NaN,NaN
268,14.45372917,NaN,NaN,NaN
269,12.36525,NaN,NaN,NaN
270,13.49814583,NaN,NaN,NaN
271,14.69125,NaN,NaN,NaN
272,15.512375,NaN,NaN,NaN
