doy,Jordan,Reservoir,Todds,Upper
174,25.46666667,NaN,NaN,NaN
175,28.86,NaN,NaN,NaN
176,28.50526316,NaN,NaN,NaN
177,23.71785714,NaN,NaN,NaN
178,25.25333333,NaN,NaN,NaN
179,24.41166667,NaN,NaN,NaN
180,22.25,NaN,NaN,NaN
181,21.52,NaN,NaN,NaN
182,25.755,NaN,NaN,NaN
183,28.30666667,NaN,NaN,NaN
184,26.455,NaN,NaN,NaN
185,24.09833333,NaN,NaN,NaN
186,25.54333333,NaN,NaN,NaN
187,24.865,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,21.80113636
198,NaN,NaN,NaN,20.06568182
199,26.935,24.61625,24.03147727,21.56579545
200,28.38333333,24.34715909,23.06363636,20.61522727
201,28.13888889,25.58340909,23.30284091,21.24022727
202,28.95,23.80522727,22.37397727,20.22909091
203,26.685,25.50409091,23.03659091,20.61886364
204,27.785,NaN,23.65318182,25.5362069
205,27.745,25.83318182,22.22465909,NaN
206,28.03666667,24.57068182,22.92227273,NaN
207,26.695,25.31738636,22.75647727,NaN
208,26.715,25.49511364,23.40436782,23.85490196
209,27.24333333,23.64306818,21.61056818,19.24238636
210,29.02857143,24.57037975,21.57034091,19.17954545
211,28.92833333,27.08955224,22.65136364,20.25090909
212,29.50833333,26.09193182,23.60454545,20.77409091
213,30.90166667,25.68511364,24.14609195,19.53509434
214,26.14666667,22.65613636,21.86977273,NaN
215,24.455,22.15034091,20.36931818,NaN
216,26.12333333,23.27636364,20.85272727,NaN
217,30.34166667,25.40590909,23.90772727,NaN
218,29.52666667,25.32284091,25.06988636,NaN
219,31.20166667,24.39056818,NaN,NaN
220,28.28214286,23.32977273,NaN,NaN
221,27.6,23.49181818,NaN,NaN
222,29.87758621,24.96329545,NaN,NaN
223,31.205,24.72785714,23.13888889,NaN
224,29.85333333,25.40681818,23.18102273,23.96365079
225,27.92692308,26.15465909,23.56068182,20.39875
226,29.05862069,26.15909091,23.63272727,21.05613636
227,29.24,26.39625,23.97068182,20.75
228,27.07666667,24.76363636,23.33670455,20.57261364
229,23.90333333,21.31443182,20.66022727,18.18784091
230,20.645,19.34568182,18.57443182,16.52272727
231,NaN,17.91704545,17.19079545,14.78977273
232,NaN,20.78488636,18.88011364,16.18079545
233,NaN,20.25920455,18.93534091,17.12909091
234,NaN,20.34284091,18.76181818,16.56227273
235,NaN,21.19965909,19.55625,16.59125
236,NaN,13.6675,12.685,11.37181818
237,NaN,15.10970149,13.21772727,11.34385227
238,NaN,18.51352273,18.36193182,15.55123864
239,NaN,15.53977273,13.33131818,11.32020455
240,NaN,15.68728409,13.22506818,11.23627273
241,NaN,18.05546591,15.63643182,13.51432955
242,NaN,20.09522727,18.06981818,15.64684091
243,NaN,22.38340909,20.11806818,17.66180682
244,NaN,24.02613636,21.51761364,18.52255682
245,NaN,24.29863636,22.78568182,20.09056818
246,NaN,19.55,18.88897727,16.62693182
247,NaN,8.955386364,7.918318182,6.951204545
248,0.415333333,11.53319318,10.54963636,8.92675
249,0.381966667,16.08072727,13.73894318,11.72330682
250,5.713655172,18.84954545,16.72579545,14.52304545
251,21.0723,20.65170455,18.96396591,16.60539773
252,23.31416667,21.64545455,20.11397727,17.06148864
253,24.15866667,22.26011364,20.43761364,15.98330189
254,25.713,21.53193182,19.73454545,NaN
255,25.23933333,23.01352273,21.20829545,NaN
256,25.054,20.19295455,20.11488636,NaN
257,18.93366667,16.83045455,14.92181818,NaN
258,14.68573333,12.45431818,10.760625,NaN
259,16.10646667,14.63532955,12.13522727,NaN
260,19.40416667,18.24806818,16.57129545,17.24735294
261,25.777,21.66227273,21.65636364,17.95815909
262,25.24666667,22.69761364,23.0525,19.52477273
263,16.683,12.69318182,12.80556818,11.39920455
264,8.096333333,6.190204545,4.73525,3.015170455
265,9.878033333,NaN,NaN,NaN
266,11.19423333,NaN,NaN,NaN
267,15.3815,NaN,NaN,NaN
268,18.66466667,NaN,NaN,NaN
269,17.63063333,NaN,NaN,NaN
270,18.9641,NaN,NaN,NaN
271,19.3905,NaN,NaN,NaN
272,18.90906667,NaN,NaN,NaN
