doy,Jordan,Reservoir,Todds,Upper
174,6.95,NaN,NaN,NaN
175,12.25,NaN,NaN,NaN
176,19.2,NaN,NaN,NaN
177,12.5,NaN,NaN,NaN
178,14.5,NaN,NaN,NaN
179,14.5,NaN,NaN,NaN
180,12.5,NaN,NaN,NaN
181,11.7,NaN,NaN,NaN
182,13.05,NaN,NaN,NaN
183,15.85,NaN,NaN,NaN
184,15.6,NaN,NaN,NaN
185,12.5,NaN,NaN,NaN
186,14.75,NaN,NaN,NaN
187,10.85,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,13.16
198,NaN,NaN,NaN,11.9
199,16.4,15.71,14.34,12.59
200,18.9,14.4,13.76,12.84
201,16.95,15.66,13.87,13.3
202,17.5,14.68,13.1,12.26
203,13.3,12.38,11.27,10.26
204,13.3,NaN,11.75,20.39
205,13.05,17.25,11.36,NaN
206,11.95,17.28,14.49,NaN
207,12.25,17.14,11.28,NaN
208,15.05,13.53,11.27,16.94
209,17.2,13.77,11.47,9.79
210,16.4,11.87,9.79,8.64
211,16.95,21.44,10.7,10.01
212,13.6,13.79,10.81,8.95
213,20.3,14.18,10.93,8.47
214,20.3,15.75,12.7,NaN
215,18.05,12.69,10.8,NaN
216,15,11.11,9.54,NaN
217,17.8,13.92,11.45,NaN
218,17.75,13.75,12.8,NaN
219,19.2,13.38,NaN,NaN
220,10.3,10.76,NaN,NaN
221,8.3,11.64,NaN,NaN
222,8.3,11.05,NaN,NaN
223,12.25,18.96,15.48,NaN
224,10,14.55,9.79,13.45
225,10.6,16.75,10.19,7.35
226,13.05,13.46,9.83,8.38
227,16.95,14.56,10.54,8.11
228,15.6,15.3,12.79,11.59
229,16.95,15.48,13.06,11.77
230,15.6,13.35,12.04,10.78
231,NaN,13.21,11.23,10.25
232,NaN,12.21,9.06,8
233,NaN,11.15,9.25,8.39
234,NaN,10.79,8.87,7.78
235,NaN,11.67,9.36,8.26
236,NaN,10.75,10.32,9.47
237,NaN,10.89,7.4,6.375
238,NaN,8.38,7.54,5.893
239,NaN,7.3,6.716,5.44
240,NaN,3.824,2.677,2.223
241,NaN,5.85,4.306,2.801
242,NaN,7.02,5.285,4.095
243,NaN,10.23,7.26,6.271
244,NaN,12.54,8,5.524
245,NaN,15.18,10.11,8.68
246,NaN,12.65,11.04,9.36
247,NaN,5.776,4.853,4.463
248,0.315,5.71,5.279,4.252
249,0.062,3.706,2.82,1.514
250,0.088,7.12,5.544,4.523
251,2.881,7.95,6.199,4.516
252,4.55,10.88,7.46,6.086
253,7.52,9.87,7.78,5.87
254,13.34,10.16,8.74,NaN
255,11.17,11.14,8.87,NaN
256,18.27,12.18,10.37,NaN
257,9.92,8,7.47,NaN
258,5.612,4.819,3.78,NaN
259,1.158,2.095,0.707,NaN
260,3.351,5.719,4.657,7.77
261,16.35,9.6,8.92,6.193
262,15.65,19,19.6,8.62
263,11.34,8.6,8.18,7.23
264,2.719,2.484,1.264,0.328
265,0.985,NaN,NaN,NaN
266,0.41,NaN,NaN,NaN
267,1.732,NaN,NaN,NaN
268,5.103,NaN,NaN,NaN
269,0.333,NaN,NaN,NaN
270,2.742,NaN,NaN,NaN
271,3.869,NaN,NaN,NaN
272,5.468,NaN,NaN,NaN
