Date,Site,TreeID,PD,MD
6/30/2004,Jordan,E5,-0.6,-2.6
6/30/2004,Jordan,E9,-0.7,-2.7
6/30/2004,Jordan,E2,-0.6,-2.3
6/30/2004,Jordan,E10,-0.4,-2
6/30/2004,Jordan,E7,-0.7,-2.2
6/30/2004,Jordan,T3,-0.5,-2.6
6/30/2004,Jordan,T8,-0.7,-2.5
6/30/2004,Jordan,T9,-0.7,-2.4
6/30/2004,Jordan,T5,-0.6,-2.5
6/30/2004,Jordan,T4,-0.7,-2.5
6/30/2004,Jordan,P7,-0.3,-1.6
6/30/2004,Jordan,P9,-0.4,-1.3
6/30/2004,Jordan,P3,-0.2,-1.6
6/30/2004,Jordan,P4,-0.3,-1.5
6/30/2004,Jordan,P2,-0.25,-1.4
7/20/2004,Jordan,E5,-0.6,-2.1
7/20/2004,Jordan,E9,-0.7,-2.6
7/20/2004,Jordan,E2,-0.6,-2.3
7/20/2004,Jordan,E10,-0.6,-1.2
7/20/2004,Jordan,E7,-0.8,-2.2
7/20/2004,Jordan,T3,-0.5,-2.1
7/20/2004,Jordan,T8,-1,-2.6
7/20/2004,Jordan,T9,-0.7,-2.1
7/20/2004,Jordan,T5,-0.5,-2.8
7/20/2004,Jordan,T4,-0.5,-2.2
7/20/2004,Jordan,P7,-0.4,-1.7
7/20/2004,Jordan,P9,-0.4,-1.7
7/20/2004,Jordan,P3,-0.3,-1.4
7/20/2004,Jordan,P4,-0.4,-0.8
7/20/2004,Jordan,P2,-0.3,-1.5
9/3/2004,Jordan,E5,-1,-3.2
9/3/2004,Jordan,E9,-1,-3.3
9/3/2004,Jordan,E2,-0.9,-3.2
9/3/2004,Jordan,E10,-0.9,-3.1
9/3/2004,Jordan,E7,-0.9,-3
9/3/2004,Jordan,T3,-1.7,-3
9/3/2004,Jordan,T8,-1.6,-2.5
9/3/2004,Jordan,T9,-1.1,-3.4
9/3/2004,Jordan,T5,-1.2,-2
9/3/2004,Jordan,T4,-1.2,-2.9
9/3/2004,Jordan,P7,-0.6,-1.3
9/3/2004,Jordan,P6,-0.6,-2.7
9/3/2004,Jordan,P3,-0.6,-1.9
9/3/2004,Jordan,P4,-0.55,-1.6
9/3/2004,Jordan,P2,-0.6,-1.7
7/21/2004,Reservoir,PH1,-0.4,-1.6
7/21/2004,Reservoir,PH3,-0.4,-1.65
7/21/2004,Reservoir,PH5,-0.3,-1.2
7/21/2004,Reservoir,PH9,-0.4,-1.45
7/21/2004,Reservoir,PH10,-0.25,-1.8
7/21/2004,Reservoir,SE3,-0.55,-1.55
7/21/2004,Reservoir,SE4,-0.3,-1.45
7/21/2004,Reservoir,SE5,-0.35,-1.4
7/21/2004,Reservoir,SE6,-0.3,-1.1
7/21/2004,Reservoir,SE7,-0.3,-0.85
9/1/2004,Reservoir,PH1,-0.9,-2.4
9/1/2004,Reservoir,PH3,-0.6,-2.05
9/1/2004,Reservoir,PH5,-0.7,-2.4
9/1/2004,Reservoir,PH9,-0.65,-1.7
9/1/2004,Reservoir,PH10,-0.45,-1.9
9/1/2004,Reservoir,SE3,-0.8,-2.3
9/1/2004,Reservoir,SE4,-0.65,-2.3
9/1/2004,Reservoir,SE5,-0.55,-2.1
9/1/2004,Reservoir,SE6,-0.6,-2.2
9/1/2004,Reservoir,SE7,-0.5,-2.4
7/26/2004,Todds,AN3,-0.3,-2.15
7/26/2004,Todds,AN6,-0.5,-1.65
7/26/2004,Todds,AN10,-0.4,-1.95
7/26/2004,Todds,AN11,-0.5,-2.1
7/26/2004,Todds,AN13,-0.45,-2.2
7/26/2004,Todds,AN14,-0.45,-2.2
7/26/2004,Todds,AN1,-0.5,-2.2
7/26/2004,Todds,AN2,-0.4,-1.85
7/26/2004,Todds,AN5,-0.6,-2
7/26/2004,Todds,AN9,-0.6,-1.8
7/26/2004,Todds,AN15,-0.45,-2.25
7/26/2004,Todds,AN18,-0.4,-2.1
7/26/2004,Todds,AN19,-0.6,-2.2
7/26/2004,Todds,AN22,-0.4,-2
7/26/2004,Todds,AN28,-0.5,-2
7/26/2004,Todds,AN29,-0.5,-1.6
7/26/2004,Todds,AN17,-0.35,-2.35
7/26/2004,Todds,AN20,-0.6,-2.1
7/26/2004,Todds,AN21,-0.4,-1.7
7/26/2004,Todds,AN23,-0.6,-1.95
7/26/2004,Todds,AN25,-0.5,-1.85
7/26/2004,Todds,AN27,-0.6,-2
7/26/2004,Todds,AN30,-0.4,-1.95
8/31/2004,Todds,AN3,-0.95,-2.4
8/31/2004,Todds,AN6,-0.9,-1.7
8/31/2004,Todds,AN10,-0.95,-2.2
8/31/2004,Todds,AN11,-0.9,-2.15
8/31/2004,Todds,AN13,-0.7,-2.4
8/31/2004,Todds,AN14,-0.65,-2.35
8/31/2004,Todds,AN1,-0.75,-1.4
8/31/2004,Todds,AN2,-1,-2.15
8/31/2004,Todds,AN4,-0.9,-2.05
8/31/2004,Todds,AN5,-0.85,-2.2
8/31/2004,Todds,AN9,-1,-2.3
8/31/2004,Todds,AN15,-0.8,-2.3
8/31/2004,Todds,AN18,-0.7,-2.5
8/31/2004,Todds,AN19,-0.6,-2.35
8/31/2004,Todds,AN28,-0.7,-1.95
8/31/2004,Todds,AN29,-0.8,-2.2
8/31/2004,Todds,AN17,-0.6,-2.7
8/31/2004,Todds,AN20,-0.65,-2.5
8/31/2004,Todds,AN21,-0.65,-2.25
8/31/2004,Todds,AN23,-0.7,-2.25
8/31/2004,Todds,AN25,-0.7,-1.2
8/31/2004,Todds,AN27,-0.6,-2.55
8/31/2004,Todds,AN30,-0.65,-2.05
7/27/2004,Upper,AG3,-0.4,-1.7
7/27/2004,Upper,AG5,-0.25,-1.65
7/27/2004,Upper,AG7,-0.4,-0.9
7/27/2004,Upper,AG9,-0.35,-2.2
7/27/2004,Upper,AG10,-0.3,-2.55
7/27/2004,Upper,BO1,-0.3,-1.5
7/27/2004,Upper,BO2,-0.35,-1.4
7/27/2004,Upper,BO4,-0.7,-1.6
7/27/2004,Upper,BO6,-0.4,-1.35
7/27/2004,Upper,BO7,-0.2,-1.65
7/27/2004,Upper,PA2,-0.35,-1.8
7/27/2004,Upper,PA3,-0.35,-2.4
7/27/2004,Upper,PA4,-0.2,-1.6
7/27/2004,Upper,PA5,-0.2,-1.5
7/27/2004,Upper,PA7,-0.4,-1.5
9/2/2004,Upper,AG3,-0.6,-2
9/2/2004,Upper,AG5,-0.5,-2.9
